firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro
Julius,Randle,Kentucky,"[{'teamId': '1610612747', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612740', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Zach,Randolph,Michigan State,"[{'teamId': '1610612757', 'seasonStart': '2001', 'seasonEnd': '2006'}, {'teamId': '1610612752', 'seasonStart': '2007', 'seasonEnd': '2008'}, {'teamId': '1610612746', 'seasonStart': '2008', 'seasonEnd': '2008'}, {'teamId': '1610612763', 'seasonStart': '2009', 'seasonEnd': '2016'}, {'teamId': '1610612758', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612757', 'pickNum': '19', 'roundNum': '1', 'seasonYear': '2001'}",2001,17
JJ,Redick,Duke,"[{'teamId': '1610612753', 'seasonStart': '2006', 'seasonEnd': '2012'}, {'teamId': '1610612749', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612746', 'seasonStart': '2013', 'seasonEnd': '2016'}, {'teamId': '1610612755', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '11', 'roundNum': '1', 'seasonYear': '2006'}",2006,12
Davon,Reed,Miami (FL),"[{'teamId': '1610612756', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612754', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '32', 'roundNum': '2', 'seasonYear': '2017'}",2017,1
Josh,Richardson,Tennessee,"[{'teamId': '1610612748', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612748', 'pickNum': '40', 'roundNum': '2', 'seasonYear': '2015'}",2015,3
Malachi,Richardson,Syracuse,"[{'teamId': '1610612758', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612761', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '22', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Austin,Rivers,Duke,"[{'teamId': '1610612740', 'seasonStart': '2012', 'seasonEnd': '2014'}, {'teamId': '1610612746', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612764', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612740', 'pickNum': '10', 'roundNum': '1', 'seasonYear': '2012'}",2012,6
Andre,Roberson,Colorado,"[{'teamId': '1610612760', 'seasonStart': '2013', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '26', 'roundNum': '1', 'seasonYear': '2013'}",2013,5
Devin,Robinson,Florida,"[{'teamId': '1610612764', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1
Duncan,Robinson,Michigan,"[{'teamId': '1610612748', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
Jerome,Robinson,Boston College,"[{'teamId': '1610612746', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612746', 'pickNum': '13', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Mitchell,Robinson,,"[{'teamId': '1610612752', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '36', 'roundNum': '2', 'seasonYear': '2018'}",2018,0
Glenn,Robinson III,Michigan,"[{'teamId': '1610612750', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612755', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612754', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612765', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '40', 'roundNum': '2', 'seasonYear': '2014'}",2014,4
